,precision,recall,f1-score,support
1,1.0,1.0,1.0,7.0
2,1.0,1.0,1.0,5.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,0.75,1.0,0.8571428571428571,3.0
7,1.0,0.75,0.8571428571428571,4.0
accuracy,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
macro avg,0.9583333333333334,0.9583333333333334,0.9523809523809522,21.0
weighted avg,0.9642857142857143,0.9523809523809523,0.9523809523809522,21.0
